,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
2906,PW0.5,0.05368264379968446,200,Relu,15,61,1,0.5
2907,PW0.7,0.2598470594052258,200,Relu,41,127,1,0.7
2908,PW0.9,0.5931059867827364,200,Relu,118,82,1,0.9
2909,AR,0.08404136460003708,200,Relu,1,199,1,0.1
2910,PW0.1,0.584757491692343,500,Relu,2,4,1,0.1
2911,PW0.3,0.6008698901456039,500,Relu,7,29,1,0.3
2912,PW0.5,0.1180015668750638,500,Relu,23,115,1,0.5
2913,PW0.7,0.029273054305587687,500,Relu,78,291,1,0.7
2914,PW0.9,0.37208645373705784,500,Relu,269,231,1,0.9
2915,AR,0.017547088703296243,500,Relu,1,499,1,0.1
2916,PW0.1,0.8208225758922476,10,Relu,2,4,1,0.1
2917,PW0.3,0.5375833984840148,10,Relu,2,4,1,0.3
2918,PW0.5,0.620176724202085,10,Relu,4,6,1,0.5
2919,PW0.7,0.2520709496098183,10,Relu,6,4,1,0.7
2920,PW0.9,0.04618014965906503,10,Relu,8,2,1,0.9
2921,AR,0.8397759210946497,10,Relu,1,9,1,0.1
2922,PW0.1,0.209570454960869,20,Relu,2,4,1,0.1
2923,PW0.3,0.061163126810337864,20,Relu,3,6,1,0.3
2924,PW0.5,0.31116469568133776,20,Relu,5,10,1,0.5
2925,PW0.7,0.04249493347015809,20,Relu,9,11,1,0.7
2926,PW0.9,0.02675476139802524,20,Relu,15,5,1,0.9
2927,AR,0.07360524068808716,20,Relu,1,19,1,0.1
2928,PW0.1,0.52684815456904,50,Relu,2,4,1,0.1
2929,PW0.3,0.8496538904955082,50,Relu,4,10,1,0.3
2930,PW0.5,0.36197577248769525,50,Relu,8,22,1,0.5
2931,PW0.7,0.12545625585495468,50,Relu,16,31,1,0.7
2932,PW0.9,0.13687527326314264,50,Relu,34,16,1,0.9
2933,AR,0.4210601829171043,50,Relu,1,49,1,0.1
2934,PW0.1,0.20640627605966588,100,Relu,2,4,1,0.1
2935,PW0.3,0.667282506973957,100,Relu,4,12,1,0.3
2936,PW0.5,0.41693969174301104,100,Relu,11,34,1,0.5
2937,PW0.7,0.03204374390659015,100,Relu,26,62,1,0.7
2938,PW0.9,0.017653347476228265,100,Relu,64,36,1,0.9
2939,AR,0.21030698049321173,100,Relu,1,99,1,0.1
2940,PW0.1,0.9639726798005239,200,Relu,2,4,1,0.1
2941,PW0.3,0.031024338057626055,200,Relu,5,18,1,0.3
2942,PW0.5,0.08571919412665951,200,Relu,15,60,1,0.5
2943,PW0.7,0.060564037464542975,200,Relu,41,121,1,0.7
2944,PW0.9,0.22505821832366601,200,Relu,118,82,1,0.9
2945,AR,0.015167031808152265,200,Relu,1,199,1,0.1
2946,PW0.1,1.260819182462252,500,Relu,2,4,1,0.1
2947,PW0.3,0.12519832677433462,500,Relu,7,27,1,0.3
2948,PW0.5,0.10378789613365114,500,Relu,23,112,1,0.5
2949,PW0.7,0.10111293456828174,500,Relu,78,283,1,0.7
2950,PW0.9,0.04713826737617055,500,Relu,269,231,1,0.9
2951,AR,0.03467035063926871,500,Relu,1,499,1,0.1
2952,PW0.1,0.25129146520503465,10,Relu,2,4,1,0.1
2953,PW0.3,1.580870036430658,10,Relu,2,4,1,0.3
2954,PW0.5,0.006635842314706486,10,Relu,4,6,1,0.5
2955,PW0.7,0.47467825227617255,10,Relu,6,4,1,0.7
2956,PW0.9,1.0039769572800465,10,Relu,8,2,1,0.9
2957,AR,0.29557372219358,10,Relu,1,9,1,0.1
2958,PW0.1,1.342835472197513,20,Relu,2,4,1,0.1
2959,PW0.3,0.3509743535922727,20,Relu,3,6,1,0.3
2960,PW0.5,0.44018426902039653,20,Relu,5,12,1,0.5
2961,PW0.7,0.1705423309391867,20,Relu,9,11,1,0.7
2962,PW0.9,0.7999089535600306,20,Relu,15,5,1,0.9
2963,AR,0.32221286238557956,20,Relu,1,19,1,0.1
2964,PW0.1,0.5070873681894361,50,Relu,2,4,1,0.1
2965,PW0.3,0.03909430254507473,50,Relu,4,11,1,0.3
2966,PW0.5,0.37913010811120107,50,Relu,8,20,1,0.5
2967,PW0.7,0.16794883654990755,50,Relu,16,31,1,0.7
2968,PW0.9,0.7067724433189866,50,Relu,34,16,1,0.9
2969,AR,0.127187745468462,50,Relu,1,49,1,0.1
2970,PW0.1,1.0219551918665588,100,Relu,2,4,1,0.1
2971,PW0.3,0.10174971980597503,100,Relu,4,12,1,0.3
2972,PW0.5,0.006854482968976172,100,Relu,11,35,1,0.5
2973,PW0.7,0.4661900777692234,100,Relu,26,58,1,0.7
2974,PW0.9,0.6663923408788499,100,Relu,64,36,1,0.9
2975,AR,0.1362208115883179,100,Relu,1,99,1,0.1
2976,PW0.1,0.9084372660421338,200,Relu,2,4,1,0.1
2977,PW0.3,0.5894116676077978,200,Relu,5,18,1,0.3
2978,PW0.5,0.2765097292637426,200,Relu,15,58,1,0.5
2979,PW0.7,0.28607817394081936,200,Relu,41,122,1,0.7
2980,PW0.9,0.6375325379841355,200,Relu,118,82,1,0.9
2981,AR,0.03516943524914251,200,Relu,1,199,1,0.1
2982,PW0.1,0.21268308834267557,500,Relu,2,4,1,0.1
2983,PW0.3,0.36221715559382917,500,Relu,7,28,1,0.3
2984,PW0.5,0.2887625561935192,500,Relu,23,114,1,0.5
2985,PW0.7,0.1429853771240135,500,Relu,78,283,1,0.7
2986,PW0.9,0.602561757881428,500,Relu,269,231,1,0.9
2987,AR,0.05047208537949721,500,Relu,1,499,1,0.1
2988,PW0.1,0.004066118809417096,10,Relu,2,4,1,0.1
2989,PW0.3,0.3731685774731477,10,Relu,2,3,1,0.3
2990,PW0.5,0.7020022533767432,10,Relu,4,5,1,0.5
2991,PW0.7,0.6584784905306825,10,Relu,6,4,1,0.7
2992,PW0.9,1.035512851665603,10,Relu,8,2,1,0.9
2993,AR,0.4648853874633172,10,Relu,1,9,1,0.1
2994,PW0.1,0.14646746404292565,20,Relu,2,4,1,0.1
2995,PW0.3,1.4378565483617476,20,Relu,3,6,1,0.3
2996,PW0.5,0.19623893790024538,20,Relu,5,10,1,0.5
2997,PW0.7,1.0133279685409178,20,Relu,9,11,1,0.7
2998,PW0.9,0.8847249890366882,20,Relu,15,5,1,0.9
2999,AR,0.38306639779591833,20,Relu,1,19,1,0.1
3000,PW0.1,1.027082031318525,50,Relu,2,4,1,0.1
3001,PW0.3,0.5484040855169676,50,Relu,4,10,1,0.3
3002,PW0.5,0.17839579454657062,50,Relu,8,20,1,0.5
3003,PW0.7,0.27265515805476004,50,Relu,16,32,1,0.7
3004,PW0.9,0.8424144235974984,50,Relu,34,16,1,0.9
3005,AR,0.08951443787159397,50,Relu,1,49,1,0.1
3006,PW0.1,0.33485176361498237,100,Relu,2,4,1,0.1
3007,PW0.3,0.09251120516028077,100,Relu,4,12,1,0.3
3008,PW0.5,0.29141648082119254,100,Relu,11,35,1,0.5
3009,PW0.7,0.17740843483091961,100,Relu,26,58,1,0.7
3010,PW0.9,0.7327360878421776,100,Relu,64,36,1,0.9
3011,AR,0.006205678704509721,100,Relu,1,99,1,0.1
3012,PW0.1,0.1088073247216117,200,Relu,2,4,1,0.1
3013,PW0.3,0.005016207364692882,200,Relu,5,17,1,0.3
3014,PW0.5,0.3224829923078576,200,Relu,15,60,1,0.5
3015,PW0.7,0.14182348748731055,200,Relu,41,114,1,0.7
3016,PW0.9,0.6032886693763686,200,Relu,118,82,1,0.9
3017,AR,0.11203988788496066,200,Relu,1,199,1,0.1
3018,PW0.1,1.008829882766614,500,Relu,2,4,1,0.1
3019,PW0.3,0.004942387083250788,500,Relu,7,28,1,0.3
3020,PW0.5,0.3383935709714241,500,Relu,23,112,1,0.5
3021,PW0.7,0.09922788877615674,500,Relu,78,283,1,0.7
3022,PW0.9,0.5259778676912258,500,Relu,269,231,1,0.9
3023,AR,0.01881652814271273,500,Relu,1,499,1,0.1
3024,PW0.1,2.242157251829949,10,Relu,2,4,1,0.1
3025,PW0.3,2.398772153987439,10,Relu,2,4,1,0.3
